PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,GrpSize,FareCat,AgeCat
1,0,3,male,1,0,S,Mr,couple,0-10,16-32
2,1,1,female,1,0,C,Mrs,couple,70-100,32-48
3,1,3,female,0,0,S,Miss,solo,0-10,16-32
4,1,1,female,1,0,S,Mrs,couple,40-70,32-48
138,0,1,male,1,0,S,Mr,couple,40-70,32-48
5,0,3,male,0,0,S,Mr,solo,0-10,32-48
6,0,3,male,0,0,Q,Mr,solo,0-10,16-32
7,0,1,male,0,0,S,Mr,solo,40-70,48-64
8,0,3,male,3,1,S,Master,large group,Oct-25,0-16
25,0,3,female,3,1,S,Miss,large group,Oct-25,0-16
375,0,3,female,3,1,S,Miss,large group,Oct-25,0-16
568,0,3,female,0,4,S,Mrs,large group,Oct-25,16-32
9,1,3,female,0,2,S,Mrs,group,Oct-25,16-32
173,1,3,female,1,1,S,Miss,group,Oct-25,0-16
870,1,3,male,1,1,S,Master,group,Oct-25,0-16
10,1,2,female,1,0,C,Mrs,couple,25-40,0-16
123,0,2,male,1,0,C,Mr,couple,25-40,32-48
11,1,3,female,1,1,S,Miss,group,Oct-25,0-16
395,1,3,female,0,2,S,Mrs,group,Oct-25,16-32
12,1,1,female,0,0,S,Miss,solo,25-40,48-64
13,0,3,male,0,0,S,Mr,solo,0-10,16-32
14,0,3,male,1,5,S,Mr,large group,25-40,32-48
120,0,3,female,4,2,S,Miss,large group,25-40,0-16
542,0,3,female,4,2,S,Miss,large group,25-40,0-16
543,0,3,female,4,2,S,Miss,large group,25-40,0-16
611,0,3,female,1,5,S,Mrs,large group,25-40,32-48
814,0,3,female,4,2,S,Miss,large group,25-40,0-16
851,0,3,male,4,2,S,Master,large group,25-40,0-16
15,0,3,female,0,0,S,Miss,solo,0-10,0-16
16,1,2,female,0,0,S,Mrs,solo,Oct-25,48-64
17,0,3,male,4,1,Q,Master,large group,25-40,0-16
172,0,3,male,4,1,Q,Master,large group,25-40,0-16
279,0,3,male,4,1,Q,Master,large group,25-40,0-16
788,0,3,male,4,1,Q,Master,large group,25-40,0-16
886,0,3,female,0,5,Q,Mrs,large group,25-40,32-48
18,1,2,male,0,0,S,Mr,solo,Oct-25,16-32
19,0,3,female,1,0,S,Mrs,couple,Oct-25,16-32
