animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
3,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
4,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
6,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
7,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
8,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
9,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
10,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
11,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
12,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
13,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
16,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
17,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
18,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
19,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
20,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
21,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
22,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
23,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
24,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
25,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
26,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
27,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
28,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
29,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
30,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
31,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
32,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
33,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
34,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
35,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
36,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
37,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
38,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
39,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
40,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
41,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
42,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
43,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
44,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
45,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
46,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
47,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
48,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
49,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
50,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
51,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
52,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
53,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
54,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
55,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
56,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
57,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
58,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
59,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
60,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
61,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
62,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
63,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
64,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
65,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
66,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
67,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
68,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
69,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
70,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
71,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
72,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
73,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
74,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
75,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
76,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
77,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
78,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
79,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
80,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
81,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
82,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
83,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
84,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
85,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
86,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
87,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
88,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
89,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
90,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
91,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
92,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
93,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
94,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
95,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
96,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
97,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
98,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
99,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
101,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
